#           k/h    P           
   0.401348E+01   0.564080E+02
   0.409456E+01   0.544110E+02
   0.417727E+01   0.524743E+02
   0.426166E+01   0.505965E+02
   0.434775E+01   0.487766E+02
   0.443558E+01   0.470132E+02
   0.452519E+01   0.453051E+02
   0.461660E+01   0.436511E+02
   0.470987E+01   0.420499E+02
   0.480501E+01   0.405003E+02
   0.490208E+01   0.390010E+02
   0.500111E+01   0.375509E+02
   0.510214E+01   0.361486E+02
   0.520521E+01   0.347930E+02
   0.531036E+01   0.334829E+02
   0.541763E+01   0.322170E+02
   0.552708E+01   0.309943E+02
   0.563873E+01   0.298134E+02
   0.575264E+01   0.286732E+02
   0.586885E+01   0.275727E+02
   0.598741E+01   0.265106E+02
   0.610836E+01   0.254859E+02
   0.623176E+01   0.244974E+02
   0.635765E+01   0.235442E+02
   0.648609E+01   0.226250E+02
   0.661711E+01   0.217390E+02
   0.675079E+01   0.208850E+02
   0.688716E+01   0.200621E+02
   0.702629E+01   0.192694E+02
   0.716823E+01   0.185058E+02
   0.731304E+01   0.177704E+02
   0.746077E+01   0.170623E+02
   0.761149E+01   0.163806E+02
   0.776525E+01   0.157244E+02
   0.792212E+01   0.150930E+02
   0.808217E+01   0.144854E+02
   0.824543E+01   0.139009E+02
   0.841200E+01   0.133386E+02
   0.858193E+01   0.127979E+02
   0.875530E+01   0.122780E+02
   0.893217E+01   0.117781E+02
   0.911261E+01   0.112975E+02
   0.929670E+01   0.108356E+02
   0.948451E+01   0.103917E+02
   0.967610E+01   0.996509E+01
   0.987158E+01   0.955526E+01
   0.100710E+02   0.916155E+01
   0.102744E+02   0.878339E+01
   0.104820E+02   0.842019E+01
   0.106938E+02   0.807142E+01
   0.109098E+02   0.773653E+01
   0.111302E+02   0.741501E+01
   0.113550E+02   0.710637E+01
   0.115844E+02   0.681011E+01
   0.118184E+02   0.652577E+01
   0.120572E+02   0.625290E+01
   0.123007E+02   0.599107E+01
   0.125492E+02   0.573986E+01
   0.128027E+02   0.549885E+01
   0.130614E+02   0.526765E+01
   0.133252E+02   0.504589E+01
   0.135944E+02   0.483319E+01
   0.138691E+02   0.462922E+01
   0.141492E+02   0.443361E+01
   0.144351E+02   0.424605E+01
   0.147267E+02   0.406623E+01
   0.150242E+02   0.389383E+01
   0.153277E+02   0.372856E+01
   0.156373E+02   0.357014E+01
   0.159532E+02   0.341829E+01
   0.162755E+02   0.327276E+01
   0.166043E+02   0.313329E+01
   0.169397E+02   0.299964E+01
   0.172819E+02   0.287157E+01
   0.176310E+02   0.274886E+01
   0.179872E+02   0.263129E+01
   0.183505E+02   0.251865E+01
   0.187212E+02   0.241075E+01
   0.190994E+02   0.230738E+01
   0.194853E+02   0.220837E+01
   0.198789E+02   0.211354E+01
   0.202805E+02   0.202271E+01
   0.206902E+02   0.193572E+01
   0.211081E+02   0.185241E+01
   0.215346E+02   0.177263E+01
   0.219696E+02   0.169624E+01
   0.224134E+02   0.162309E+01
   0.228662E+02   0.155305E+01
   0.233281E+02   0.148599E+01
   0.237994E+02   0.142179E+01
   0.242802E+02   0.136033E+01
   0.247707E+02   0.130149E+01
   0.252710E+02   0.124516E+01
   0.257816E+02   0.119124E+01
   0.263024E+02   0.113963E+01
   0.268337E+02   0.109023E+01
   0.273758E+02   0.104295E+01
   0.279288E+02   0.997696E+00
   0.284930E+02   0.954385E+00
   0.290686E+02   0.912935E+00
   0.296558E+02   0.873267E+00
   0.302549E+02   0.835306E+00
   0.308661E+02   0.798980E+00
   0.314897E+02   0.764218E+00
   0.321258E+02   0.730956E+00
   0.327748E+02   0.699129E+00
   0.334369E+02   0.668675E+00
   0.341123E+02   0.639538E+00
   0.348014E+02   0.611659E+00
   0.355045E+02   0.584987E+00
   0.362217E+02   0.559469E+00
   0.369535E+02   0.535055E+00
   0.377000E+02   0.511699E+00
   0.384616E+02   0.489356E+00
   0.392386E+02   0.467981E+00
   0.400312E+02   0.447534E+00
   0.408399E+02   0.427975E+00
   0.416649E+02   0.409264E+00
